participant,n_actions,nll_eflop,nll_per_action_eflop,nll_tree,nll_per_action_tree,nll_hsp2,nll_per_action_hsp2,best_model,best_nll,best_nll_per_action
5201314,299,1055.29605694,3.5294182506354512,1521.71263288,5.089339909297659,1805.2302221,6.037559271237458,eflop,1055.29605694,3.5294182506354512
FlorenceYeoh,317,1229.14050528,3.8774148431545745,1703.27263033,5.37309978022082,1935.4842447,6.105628532176657,eflop,1229.14050528,3.8774148431545745
Rex,421,1476.40725323,3.506905589619952,2065.06512156,4.90514280655582,2905.2253015,6.900772687648456,eflop,1476.40725323,3.506905589619952
施淮,187,395.407554928,2.1144789033582887,699.762314405,3.7420444620588236,1034.9024699,5.534237806951872,eflop,395.407554928,2.1144789033582887
