participant,attempt_type,n_actions,nll_hsp2,nll_per_action_hsp2,nll_eflop,nll_per_action_eflop,nll_tree,nll_per_action_tree,best_model,best_nll_per_action
5201314,abandoned,60,454.0898557,7.5681642616666664,703.484123974,11.724735399566667,1028.21364455,17.136894075833332,hsp2,7.5681642616666664
5201314,final,299,1805.2302221,6.037559271237458,2223.34915892,7.435950364280936,3831.59590785,12.814702032943144,hsp2,6.037559271237458
FlorenceYeoh,final,317,1935.4842447,6.105628532176657,2696.84632216,8.50740164719243,4280.68582753,13.503740780851736,hsp2,6.105628532176657
Rex,final,421,2905.2253015,6.900772687648456,2993.4718639,7.110384474821852,5249.42278387,12.468937728907363,hsp2,6.900772687648456
施淮,abandoned,40,336.7962318,8.419905795,239.241499547,5.981037488675,550.534893921,13.763372348025001,eflop,5.981037488675
施淮,final,187,1034.9024699,5.534237806951872,711.439253345,3.804487985802139,1685.35557311,9.01259664764706,eflop,3.804487985802139
