participant,n_actions,nll_hsp2,nll_per_action_hsp2,nll_eflop,nll_per_action_eflop,nll_tree,nll_per_action_tree,best_model,best_nll,best_nll_per_action
5201314,299,1805.2302221,6.037559271237458,2223.34915892,7.435950364280936,3831.59590785,12.814702032943144,hsp2,1805.2302221,6.037559271237458
FlorenceYeoh,317,1935.4842447,6.105628532176657,2696.84632216,8.50740164719243,4280.68582753,13.503740780851736,hsp2,1935.4842447,6.105628532176657
Rex,421,2905.2253015,6.900772687648456,2993.4718639,7.110384474821852,5249.42278387,12.468937728907363,hsp2,2905.2253015,6.900772687648456
施淮,187,1034.9024699,5.534237806951872,711.439253345,3.804487985802139,1685.35557311,9.01259664764706,eflop,711.439253345,3.804487985802139
