model_key,model,n_participants,total_steps,total_ll,total_nll,total_random_ll,total_random_nll,total_aic,total_bic,mean_ll,mean_nll,mean_aic,mean_bic,mean_log_likelihood_per_step,mean_nll_per_step,geomean_likelihood_per_step,mean_log_likelihood_gain_vs_random_per_step,mean_nll_reduction_vs_random_per_step,likelihood_ratio_vs_random_per_step,global_log_likelihood_per_step,global_nll_per_step,global_geomean_likelihood_per_step,global_random_log_likelihood_per_step,global_random_nll_per_step,global_log_likelihood_gain_vs_random_per_step,global_nll_reduction_vs_random_per_step,global_likelihood_ratio_vs_random_per_step
spatial_neighbor_color,空间步长+邻居+颜色,19,6548,-15158.551118365634,15158.551118365634,-20591.04349273661,20591.04349273661,30431.10223673127,30649.95933150126,-797.8184799139808,797.8184799139808,1601.6369598279616,1613.15575428954,-2.297720299713607,2.297720299713607,0.10756352363378217,0.8406817002546587,0.8406817002546587,2.3881229124841115,-2.3149894805078857,2.3149894805078857,0.09876722297769004,-3.1446309549078513,3.1446309549078513,0.8296414743999656,0.8296414743999656,2.2924966741614368
levy_neighbor_color,Levy步长+邻居+颜色,19,6548,-15429.099584706237,15429.099584706237,-20591.04349273661,20591.04349273661,30972.199169412474,31191.056264182465,-812.0578728792756,812.0578728792756,1630.1157457585512,1641.6345402201298,-2.3386430942952225,2.3386430942952225,0.10405128655727727,0.7997589056730435,0.7997589056730435,2.2924047711301174,-2.3563072059722416,2.3563072059722416,0.09476954221725449,-3.1446309549078513,3.1446309549078513,0.7883237489356096,0.7883237489356096,2.1997060744932875
spatial_neighbor,空间步长+邻居,19,6548,-15731.121656623,15731.121656623,-20591.04349273661,20591.04349273661,31538.243313246,31684.14804309266,-827.9537714012105,827.9537714012105,1659.907542802421,1667.5867391101401,-2.3828397666860495,2.3828397666860495,0.10312868039785043,0.7555622332822164,0.7555622332822164,2.2157549331838426,-2.4024315297225107,2.4024315297225107,0.0904976378499419,-3.1446309549078513,3.1446309549078513,0.7421994251853405,0.7421994251853405,2.1005504410842972
levy_neighbor,Levy步长+邻居,19,6548,-16001.67012294476,16001.67012294476,-20591.04349273661,20591.04349273661,32079.34024588952,32225.244975736183,-842.1931643655138,842.1931643655138,1688.3863287310276,1696.0655250387465,-2.423762561264924,2.423762561264924,0.10017053161503002,0.7146394387033422,0.7146394387033422,2.1384343777077888,-2.443749255183989,2.443749255183989,0.08683467502922336,-3.1446309549078513,3.1446309549078513,0.7008816997238623,0.7008816997238623,2.0155290156467203
neighbor_color,邻居+颜色,19,6548,-16955.965897322138,16955.965897322138,-20591.04349273661,20591.04349273661,33987.931794644275,34133.83652449094,-892.4192577537967,892.4192577537967,1788.8385155075935,1796.5177118153124,-2.573080452844041,2.573080452844041,0.08162420457227586,0.5653215471242249,0.5653215471242249,1.8673179393473862,-2.589487766848219,2.589487766848219,0.07505847768057146,-3.1446309549078513,3.1446309549078513,0.5551431880596325,0.5551431880596325,1.7421904277818834
random,随机模型,19,6548,-20591.043492736608,20591.043492736608,-20591.043492736608,20591.043492736608,,,-1083.7391311966635,1083.7391311966635,,,-3.138401999968266,3.138401999968266,0.04443406779444561,0.0,0.0,1.0,-3.144630954907851,3.144630954907851,0.04308282061687953,-3.144630954907851,3.144630954907851,0.0,0.0,1.0
