round,action_index,region,old_color,new_color,center_dist,step_delta_center_dist,solved,final_conflicts
1,0,44,1,2,4.825971404805461,,False,2
1,1,34,0,3,7.7801028270839705,2.9541314222785093,False,2
1,2,27,0,1,5.315072906367325,-2.4650299207166455,False,2
1,3,32,3,0,4.301162633521313,-1.0139102728460117,False,2
1,4,32,0,3,4.301162633521313,0.0,False,2
1,5,32,3,0,4.301162633521313,0.0,False,2
1,6,32,0,3,4.301162633521313,0.0,False,2
1,7,32,3,0,4.301162633521313,0.0,False,2
1,8,32,0,3,4.301162633521313,0.0,False,2
1,9,32,3,0,4.301162633521313,0.0,False,2
1,10,32,0,3,4.301162633521313,0.0,False,2
1,11,32,3,0,4.301162633521313,0.0,False,2
1,12,32,0,3,4.301162633521313,0.0,False,2
1,13,32,3,0,4.301162633521313,0.0,False,2
1,14,32,0,3,4.301162633521313,0.0,False,2
1,15,32,3,0,4.301162633521313,0.0,False,2
1,16,32,0,3,4.301162633521313,0.0,False,2
1,17,32,3,0,4.301162633521313,0.0,False,2
1,18,32,0,3,4.301162633521313,0.0,False,2
1,19,32,3,0,4.301162633521313,0.0,False,2
1,20,32,0,3,4.301162633521313,0.0,False,2
1,21,32,3,0,4.301162633521313,0.0,False,2
1,22,32,0,3,4.301162633521313,0.0,False,2
1,23,32,3,0,4.301162633521313,0.0,False,2
1,24,32,0,3,4.301162633521313,0.0,False,2
1,25,32,3,0,4.301162633521313,0.0,False,2
1,26,32,0,3,4.301162633521313,0.0,False,2
1,27,32,3,0,4.301162633521313,0.0,False,2
1,28,32,0,3,4.301162633521313,0.0,False,2
1,29,32,3,0,4.301162633521313,0.0,False,2
1,30,32,0,3,4.301162633521313,0.0,False,2
1,31,32,3,0,4.301162633521313,0.0,False,2
1,32,32,0,3,4.301162633521313,0.0,False,2
1,33,32,3,0,4.301162633521313,0.0,False,2
1,34,32,0,3,4.301162633521313,0.0,False,2
1,35,32,3,0,4.301162633521313,0.0,False,2
1,36,32,0,3,4.301162633521313,0.0,False,2
1,37,32,3,0,4.301162633521313,0.0,False,2
1,38,32,0,3,4.301162633521313,0.0,False,2
1,39,32,3,0,4.301162633521313,0.0,False,2
