round,n_actions,first_center_dist,last_center_dist,last_minus_first,slope,mean_center_dist,min_center_dist,max_center_dist,solved,final_conflicts
1,100,4.825971404805461,4.301162633521313,-0.5248087712841478,-0.002914699928311308,4.351339225898243,4.301162633521313,7.7801028270839705,False,2
2,100,4.911720676097125,5.667892024377317,0.7561713482801924,-0.004929770473204738,5.754840865936777,4.911720676097125,9.300537618869138,False,1
3,100,3.566822426505449,9.213851622877105,5.647029196371656,0.0036038465931045633,9.153010263092323,3.566822426505449,9.213851622877105,False,1
4,100,10.124228365658293,10.124228365658293,0.0,0.00864396700766982,9.97005936707305,3.2466623363895746,10.124228365658293,False,1
5,100,8.666732077199525,4.385737552288214,-4.280994524911311,-0.0038756460295016814,4.451440069996113,4.385737552288214,8.666732077199525,False,1
6,100,5.70087712549569,6.5690989659533825,0.8682218404576929,0.003085610248175053,6.514230879900733,1.8979043222266314,7.149282824029217,False,1
7,100,7.532595834106593,9.10494371207203,1.572347877965437,0.009810527802832633,8.935072208769679,1.118033988749895,9.10494371207203,False,1
8,100,4.716990566028302,7.134423592694787,2.417433026666486,0.0004812326977469178,7.126788048443887,4.716990566028302,8.139410298049853,False,1
9,100,5.253764442409513,10.204165815979275,4.950401373569762,0.003081537150570592,10.152244438309644,5.253764442409513,10.204165815979275,False,1
10,100,8.918029490868484,4.974424384708614,-3.94360510615987,-0.0007488528893523639,4.986476871698125,2.23606797749979,8.918029490868484,False,1
11,100,5.297405025104273,5.315072906367325,0.017667881263052188,0.00025416506491226864,5.31095221944649,3.7453675090407055,6.490377492873585,False,1
12,100,3.0413812651491097,6.174544517614234,3.1331632524651245,0.0022288028358933318,6.136278612794456,3.0413812651491097,6.615559311199621,False,1
13,100,5.836308764964376,4.6097722286464435,-1.2265365363179326,-0.0013361294277552064,4.632796062524898,4.126472801046649,6.168918507773916,False,1
14,100,4.929088999738891,9.63356401107895,4.70447501134006,0.008351436129200711,9.488653153999481,1.6414763002993507,9.66235536042383,False,1
15,100,7.063206700139031,5.06951674225463,-1.993689957884401,-0.006888033413759466,5.189109647734565,5.06951674225463,9.192388155425117,False,1
16,100,6.88839603971781,6.3860198872224005,-0.5023761524954091,0.0008612733997239133,6.370684826805027,2.1730674684008826,9.300537618869138,False,2
17,100,5.676462121975466,4.036087214122113,-1.640374907853353,-0.004920311309512468,4.123129947741592,1.3038404810405295,9.235799911215054,False,2
18,100,6.103277807866851,5.385164807134504,-0.7181130007323473,-0.007174837024726463,5.515162175644553,5.232590180780452,9.383792173506166,False,1
19,100,9.193238004098447,9.630415253725236,0.4371772496267887,0.0015589098960486843,9.603123997422385,6.726812023536855,10.242070103255495,False,1
20,100,2.910708199428831,9.617692030835672,6.706983831406841,0.005991733759653571,9.516134457290985,2.910708199428831,9.617692030835672,False,1
21,100,4.833333333333334,9.19238815542512,4.359054822091785,0.005746307276825595,9.09263507544364,4.833333333333334,9.19238815542512,False,1
22,100,4.949747468305833,9.221204489918764,4.271457021612931,0.008469730239039283,9.07208076135555,4.949747468305833,9.86154146165801,False,1
23,100,7.433034373659253,7.893826701923472,0.460792328264219,0.0002437949608090646,7.889419799842836,6.373774391990981,9.433981132056603,False,1
24,100,7.652613932506983,8.682165628459297,1.0295516959523132,0.0031466222981538492,8.628317638501006,4.32691832858239,8.682165628459297,False,1
25,100,4.3535186918169995,4.954733364778511,0.6012146729615111,-0.0019371418859307126,4.987919929265432,2.195449840010015,7.504165509901817,False,1
26,100,5.87632963677158,8.59142013871979,2.715090501948211,0.00019579403613157798,8.590030264470222,5.87632963677158,9.82344135219425,False,1
27,100,7.596051605933177,9.67987603226405,2.0838244263308727,0.003657645268543578,9.617465832764035,5.522680508593631,9.67987603226405,False,1
28,100,3.184162195757133,5.814254514170803,2.63009231841367,0.004037646806675791,5.743913012578421,1.118033988749895,7.433034373659253,False,2
29,100,7.769241347204444,1.3437096247164255,-6.425531722488018,-0.0060942985954894405,1.4470873357982135,1.3437096247164255,7.769241347204444,False,1
30,100,6.103277807866851,8.795516534639173,2.692238726772322,0.0068796561252751996,8.673330193927056,3.3374973990834644,9.7082439194738,False,1
31,100,9.513148795220223,2.0,-7.513148795220223,-0.008616295458363569,2.1476137120110166,2.0,9.513148795220223,False,1
32,100,4.828698223187306,9.486832980505138,4.658134757317832,0.007504404932416047,9.357848243825229,4.828698223187306,9.962429422585638,False,1
33,100,7.07248188403477,4.110960958218893,-2.9615209258158766,-0.004067834563673233,4.180358902245137,4.110960958218893,7.5,False,1
34,100,8.222046023729527,9.340770846134703,1.1187248224051753,0.007761125478819688,9.198925985171208,4.756574397610112,10.547511554864494,False,1
35,100,8.54400374531753,5.61526936130405,-2.92873438401348,-0.00047133481773138934,5.622763225077958,3.4359213546813847,8.54400374531753,False,1
36,100,3.3015148038438356,9.567196559076226,6.265681755232391,0.00941830544639562,9.405530205236069,3.3015148038438356,9.567196559076226,False,1
37,100,8.074272571013468,8.074272571013468,0.0,0.001096925573573471,8.055426937319032,6.189709201569974,8.074272571013468,False,1
38,100,7.355270219373318,2.5,-4.855270219373318,-0.005431484967791775,2.5923140648911085,2.5,7.355270219373318,False,2
