participant,SessionID,Experiment,Round,attempt_id,is_final_attempt,n_recolors,first_center_dist_norm,last_center_dist_norm,mean_center_dist_norm,center_dist_delta_last_first,center_dist_slope_per_action,outward_step_ratio,n_outward_steps,n_inward_or_equal_steps
5201314,5201314,experiment2,1,1,1,17,0.4396339480735708,0.5092505273291941,0.43023528913287956,0.06961657925562326,0.029433879560104122,0.4375,7,9
5201314,5201314,experiment2,2,1,1,4,0.8472557604710943,0.44744549263532424,0.5580974055830707,-0.39981026783577006,-0.09764692953537159,0.3333333333333333,1,2
5201314,5201314,experiment2,3,1,0,3,0.8393588826274504,0.8082675608837383,0.7609547238055142,-0.031091321743712097,-0.015545660871856049,0.5,1,1
5201314,5201314,experiment2,3,2,0,1,0.8393588826274504,0.8393588826274504,0.8393588826274504,,,,0,0
5201314,5201314,experiment2,3,3,1,14,0.8393588826274504,0.4110618888205961,0.43314316010082127,-0.4282969938068543,-0.029103290058704302,0.38461538461538464,5,8
5201314,5201314,experiment2,4,1,1,10,0.9222919313530853,0.6347436030610831,0.5706928980000039,-0.28754832829200216,-0.05885274648978056,0.3333333333333333,3,6
5201314,5201314,experiment2,5,1,0,6,0.6029835915000152,0.38528703641814105,0.5867337991110357,-0.2176965550818742,-0.06200506193617771,0.4,2,3
5201314,5201314,experiment2,5,2,1,11,0.6049587620114613,0.8138100319459677,0.7001743309360396,0.20885126993450642,0.01710106685329509,0.6,6,4
5201314,5201314,experiment2,6,1,1,13,0.5503676628539804,0.6512818187635391,0.41899398082096173,0.10091415590955866,0.0037700777144367963,0.4166666666666667,5,7
5201314,5201314,experiment2,7,1,1,7,0.2791345381070267,0.828060775126382,0.6017984190570268,0.5489262370193553,0.07890946515384746,0.8333333333333334,5,1
5201314,5201314,experiment2,8,1,0,1,0.5257872974480045,0.5257872974480045,0.5257872974480045,,,,0,0
5201314,5201314,experiment2,8,2,0,1,0.3189713758148396,0.3189713758148396,0.3189713758148396,,,,0,0
5201314,5201314,experiment2,8,3,1,4,0.4297060657060408,0.4371789254078128,0.48020869550374035,0.007472859701771972,-0.040659155004581005,0.6666666666666666,2,1
5201314,5201314,experiment2,9,1,1,8,0.9075524515322283,0.4677225754238169,0.5462086628891097,-0.4398298761084114,-0.06871865552681798,0.42857142857142855,3,4
5201314,5201314,experiment2,10,1,0,2,0.8931860686358596,0.3931466842702569,0.6431663764530582,-0.5000393843656027,-0.5000393843656027,0.0,0,1
5201314,5201314,experiment2,10,2,0,17,0.8931860686358596,0.4282551688264323,0.5787154534056623,-0.4649308998094273,-0.023836855405259427,0.4375,7,9
5201314,5201314,experiment2,10,3,1,5,0.20370021093167764,0.8931860686358596,0.495033242000093,0.6894858577041819,0.1773700022062259,0.75,3,1
5201314,5201314,experiment2,11,1,1,10,0.6655731003182295,0.4745724338059875,0.533007031578645,-0.19100066651224196,-0.0481320944208374,0.4444444444444444,4,5
5201314,5201314,experiment2,12,1,1,7,0.2969415327281133,0.8593823274505874,0.4398381007239231,0.5624407947224741,0.081050632803455,0.5,3,3
5201314,5201314,experiment2,13,1,1,10,0.3759113714051263,0.5619730768019529,0.5489139513184781,0.18606170539682654,0.046113912364246286,0.4444444444444444,4,5
5201314,5201314,experiment2,14,1,1,12,0.8802164535337098,0.7114942490210595,0.5222554194567105,-0.1687222045126503,0.0030188375231590273,0.5454545454545454,6,5
5201314,5201314,experiment2,15,1,1,7,0.643440498745971,0.8433287137896318,0.7503780175205744,0.19988821504366083,0.010855515487859775,0.5,3,3
5201314,5201314,experiment2,16,1,0,3,0.6854141311063932,0.3220783132004154,0.443190252502408,-0.36333581790597774,-0.18166790895298887,0.0,0,2
5201314,5201314,experiment2,16,2,1,8,0.39526797057989366,0.8472557604710943,0.40508136660994876,0.45198778989120064,0.04352250450937078,0.5714285714285714,4,3
5201314,5201314,experiment2,17,1,1,24,0.3267766242366712,0.47363036868541153,0.39280885040367486,0.14685374444874033,-0.009828093036917103,0.6086956521739131,14,9
5201314,5201314,experiment2,18,1,1,8,0.3007597571738442,0.7129507382608717,0.5440191165279247,0.41219098108702756,0.023597910393792547,0.7142857142857143,5,2
5201314,5201314,experiment2,19,1,1,6,0.6127957834378188,0.8761477356997415,0.7775370184189944,0.26335195226192265,0.037273473953101835,0.8,4,1
5201314,5201314,experiment2,20,1,0,15,0.5619730768019529,0.7954747532056261,0.6741467592529454,0.23350167640367325,0.03316404172124639,0.42857142857142855,6,8
5201314,5201314,experiment2,20,2,1,7,0.26515825106854213,0.5419259407142225,0.5967245094060762,0.2767676896456804,0.03598755692943518,0.5,3,3
5201314,5201314,experiment2,21,1,0,2,0.9295740335322557,0.5503676628539804,0.739970848193118,-0.37920637067827523,-0.37920637067827523,0.0,0,1
5201314,5201314,experiment2,21,2,1,22,0.9295740335322557,0.7538131129882575,0.45422606217644945,-0.17576092054399817,-0.009998553131978427,0.38095238095238093,8,13
5201314,5201314,experiment2,22,1,1,6,0.40993876680684926,0.8983618101348219,0.6377315890398556,0.4884230433279726,0.08931665599838795,0.8,4,1
5201314,5201314,experiment2,23,1,1,9,0.2860519640573698,0.8594121314120816,0.5669485206052506,0.5733601673547117,0.0792643461062781,0.625,5,3
5201314,5201314,experiment2,24,1,1,6,0.5503676628539804,0.6971340262979613,0.6374721829203199,0.14676636344398086,0.07207775592703655,0.6,3,2
5201314,5201314,experiment2,25,1,1,12,0.11962908776015432,0.6344207015506481,0.5213705744280913,0.5147916137904938,0.030381658830858582,0.5454545454545454,6,5
