Round,abandoned_slope_mean,final_slope,slope_diff_final_minus_abandoned,abandoned_delta_mean,final_delta,delta_diff_final_minus_abandoned,abandoned_outward_ratio_mean,final_outward_ratio,outward_ratio_diff_final_minus_abandoned,final_n_recolors,abandoned_n_recolors_total
3,-0.015545660871856049,-0.029103290058704302,-0.013557629186848254,-0.031091321743712097,-0.4282969938068543,-0.3972056720631422,0.5,0.38461538461538464,-0.11538461538461536,14,3
5,-0.06200506193617771,0.01710106685329509,0.0791061287894728,-0.2176965550818742,0.20885126993450642,0.4265478250163806,0.4,0.6,0.19999999999999996,11,6
10,-0.26193811988543103,0.1773700022062259,0.4393081220916569,-0.48248514208751503,0.6894858577041819,1.171970999791697,0.21875,0.75,0.53125,5,19
16,-0.18166790895298887,0.04352250450937078,0.22519041346235966,-0.36333581790597774,0.45198778989120064,0.8153236077971784,0.0,0.5714285714285714,0.5714285714285714,8,3
20,0.03316404172124639,0.03598755692943518,0.0028235152081887913,0.23350167640367325,0.2767676896456804,0.04326601324200713,0.42857142857142855,0.5,0.07142857142857145,7,15
21,-0.37920637067827523,-0.009998553131978427,0.3692078175462968,-0.37920637067827523,-0.17576092054399817,0.20344545013427706,0.0,0.38095238095238093,0.38095238095238093,22,2
30,-0.06369392924175774,0.044089621078429155,0.10778355032018688,-0.6568241817617839,0.49721191858619834,1.1540361003479822,0.42857142857142855,0.4444444444444444,0.015873015873015872,10,8
