SessionID,Experiment,Round,Step,Action,ConflictRegions,TimeTaken(s),action_type,region_ui,color_ui,region_zero_based,color_zero_based,started_regions,started_conflicts,attempt_id,attempt_total_step,attempt_recolor_step,conflict_region_count,max_attempt_id,is_final_attempt,participant,round_int,region_zero_based_int,center_dist_norm,prev_center_dist_norm,center_dist_delta_from_prev,moved_outward_from_prev
Rex,experiment2,2,26,Recolored Region 6 to Color 4,6 11 23 31,6.8,recolor,6.0,4.0,5.0,3.0,,,1,3,2,4,1,True,Rex,2,5,0.3573634305361351,0.8472557604710943,-0.4898923299349592,0
Rex,experiment2,2,27,Recolored Region 39 to Color 4,6 11 23 28 31 39,2.2,recolor,39.0,4.0,38.0,3.0,,,1,4,3,6,1,True,Rex,2,38,0.1915215338423103,0.3573634305361351,-0.16584189669382482,0
Rex,experiment2,2,28,Recolored Region 31 to Color 3,6 11 23 28 39,7.9,recolor,31.0,3.0,30.0,2.0,,,1,5,4,5,1,True,Rex,2,30,0.5803249386897295,0.1915215338423103,0.38880340484741915,1
Rex,experiment2,2,29,Recolored Region 39 to Color 3,11 23,2.4,recolor,39.0,3.0,38.0,2.0,,,1,6,5,2,1,True,Rex,2,38,0.1915215338423103,0.5803249386897295,-0.38880340484741915,0
Rex,experiment2,2,30,Recolored Region 23 to Color 4,,3.9,recolor,23.0,4.0,22.0,3.0,,,1,7,6,0,1,True,Rex,2,22,0.44744549263532424,0.1915215338423103,0.25592395879301394,1
Rex,experiment2,3,32,Recolored Region 44 to Color 4,12 14 25 43,6.6,recolor,44.0,4.0,43.0,3.0,,,1,2,1,4,1,True,Rex,3,43,0.3249286193201461,,,
Rex,experiment2,3,33,Recolored Region 14 to Color 3,25 43,5.0,recolor,14.0,3.0,13.0,2.0,,,1,3,2,2,1,True,Rex,3,13,0.8393588826274504,0.3249286193201461,0.5144302633073043,1
Rex,experiment2,3,34,Recolored Region 43 to Color 2,12 43,13.8,recolor,43.0,2.0,42.0,1.0,,,1,4,3,2,1,True,Rex,3,42,0.6352377279053542,0.8393588826274504,-0.20412115472209624,0
Rex,experiment2,3,35,Recolored Region 12 to Color 1,10 12,5.9,recolor,12.0,1.0,11.0,0.0,,,1,5,4,2,1,True,Rex,3,11,0.8082675608837383,0.6352377279053542,0.17302983297838415,1
Rex,experiment2,3,36,Recolored Region 10 to Color 2,5 10,12.1,recolor,10.0,2.0,9.0,1.0,,,1,6,5,2,1,True,Rex,3,9,0.7759644276590019,0.8082675608837383,-0.032303133224736436,0
Rex,experiment2,3,37,Recolored Region 5 to Color 3,,6.8,recolor,5.0,3.0,4.0,2.0,,,1,7,6,0,1,True,Rex,3,4,0.6127957834378188,0.7759644276590019,-0.16316864422118305,0
Rex,experiment2,4,39,Recolored Region 39 to Color 2,8 9 10 22 23 37 39 42 43,7.8,recolor,39.0,2.0,38.0,1.0,,,1,2,1,9,1,True,Rex,4,38,0.3618904948882416,,,
Rex,experiment2,4,40,Recolored Region 22 to Color 3,8 9 10 23 37 42 43,4.8,recolor,22.0,3.0,21.0,2.0,,,1,3,2,7,1,True,Rex,4,21,0.6347436030610831,0.3618904948882416,0.27285310817284153,1
Rex,experiment2,4,41,Recolored Region 37 to Color 3,8 9 10 23 43,3.8,recolor,37.0,3.0,36.0,2.0,,,1,4,3,5,1,True,Rex,4,36,0.5070457924927958,0.6347436030610831,-0.12769781056828733,0
Rex,experiment2,4,42,Recolored Region 8 to Color 2,8 9 10 18 23 29 43,10.6,recolor,8.0,2.0,7.0,1.0,,,1,5,4,7,1,True,Rex,4,7,0.36722577766849696,0.5070457924927958,-0.13982001482429884,0
