SessionID,Experiment,Round,Step,Action,ConflictRegions,TimeTaken(s),action_type,region_ui,color_ui,region_zero_based,color_zero_based,started_regions,started_conflicts,attempt_id,attempt_total_step,attempt_recolor_step,conflict_region_count,max_attempt_id,is_final_attempt,participant,round_int,region_zero_based_int,center_dist_norm,prev_center_dist_norm,center_dist_delta_from_prev,moved_outward_from_prev
5201314,experiment2,3,28,Recolored Region 14 to Color 1,8 14 25 38 41 43 44,2.6,recolor,14.0,1.0,13.0,0.0,,,2,2,1,7,3,False,5201314,3,13,0.8393588826274504,,,
5201314,experiment2,3,30,Recolored Region 14 to Color 3,8 25 38 43 44,2.4,recolor,14.0,3.0,13.0,2.0,,,3,2,1,5,3,True,5201314,3,13,0.8393588826274504,,,
5201314,experiment2,3,31,Recolored Region 25 to Color 1,8 25 36 38 39 41 44,11.3,recolor,25.0,1.0,24.0,0.0,,,3,3,2,7,3,True,5201314,3,24,0.46742984917569713,0.8393588826274504,-0.37192903345175327,0
5201314,experiment2,3,32,Recolored Region 25 to Color 4,8 25 38 43 44,3.2,recolor,25.0,4.0,24.0,3.0,,,3,4,3,5,3,True,5201314,3,24,0.46742984917569713,0.46742984917569713,0.0,0
5201314,experiment2,3,33,Recolored Region 25 to Color 1,8 25 36 38 39 41 44,4.3,recolor,25.0,1.0,24.0,0.0,,,3,5,4,7,3,True,5201314,3,24,0.46742984917569713,0.46742984917569713,0.0,0
5201314,experiment2,3,34,Recolored Region 41 to Color 2,8 25 36 38 39 44,3.3,recolor,41.0,2.0,40.0,1.0,,,3,6,5,6,3,True,5201314,3,40,0.799539545912007,0.46742984917569713,0.3321096967363099,1
5201314,experiment2,3,35,Recolored Region 39 to Color 4,8 25 36 38 44,3.0,recolor,39.0,4.0,38.0,3.0,,,3,7,6,5,3,True,5201314,3,38,0.40112796241529086,0.799539545912007,-0.3984115834967162,0
5201314,experiment2,3,36,Recolored Region 36 to Color 4,2 8 36 38 43 44,2.8,recolor,36.0,4.0,35.0,3.0,,,3,8,7,6,3,True,5201314,3,35,0.4104032868049506,0.40112796241529086,0.009275324389659723,1
5201314,experiment2,3,37,Recolored Region 36 to Color 2,8 36 38 42 44,7.9,recolor,36.0,2.0,35.0,1.0,,,3,9,8,5,3,True,5201314,3,35,0.4104032868049506,0.4104032868049506,0.0,0
5201314,experiment2,3,38,Recolored Region 42 to Color 4,8 38 39 42 44,14.7,recolor,42.0,4.0,41.0,3.0,,,3,10,9,5,3,True,5201314,3,41,0.2452875355653736,0.4104032868049506,-0.16511575123957697,0
5201314,experiment2,3,39,Recolored Region 39 to Color 2,8 18 38 39 44,5.7,recolor,39.0,2.0,38.0,1.0,,,3,11,10,5,3,True,5201314,3,38,0.40112796241529086,0.2452875355653736,0.15584042684991725,1
5201314,experiment2,3,40,Recolored Region 18 to Color 4,7 8 18 38 44,8.0,recolor,18.0,4.0,17.0,3.0,,,3,12,11,5,3,True,5201314,3,17,0.10062048165160421,0.40112796241529086,-0.30050748076368666,0
