pruning_thresh,gamma,lapse_rate,region_preserve,color_preserve,ll,nll,n_actions,task_id
0.0,0.05,0.0,0.0,0.0,-33.53657530597685,33.53657530597685,62,0
0.0,0.05,0.1,0.0,0.0,-35.11168735475013,35.11168735475013,62,0
0.0,0.05,0.3,0.0,0.0,-38.65294545468919,38.65294545468919,62,0
0.0,0.1,0.3,0.0,0.0,-39.20092456080639,39.20092456080639,62,0
0.0,0.1,0.1,0.0,0.0,-39.70762700177705,39.70762700177705,62,0
0.0,0.2,0.3,0.0,0.0,-42.620592985908736,42.620592985908736,62,0
0.0,0.2,0.1,0.0,0.0,-46.46507843779158,46.46507843779158,62,0
0.5,0.05,0.1,0.0,0.0,-49.6527834192992,49.6527834192992,62,0
0.5,0.05,0.3,0.0,0.0,-51.6681348913411,51.6681348913411,62,0
0.5,0.2,0.3,0.0,0.0,-55.25227895955195,55.25227895955195,62,0
0.5,0.1,0.3,0.0,0.0,-56.57129109109417,56.57129109109417,62,0
0.5,0.2,0.1,0.0,0.0,-59.46890918359197,59.46890918359197,62,0
0.5,0.1,0.1,0.0,0.0,-60.034661188751386,60.034661188751386,62,0
1.0,0.2,0.3,0.0,0.0,-86.72929331358935,86.72929331358935,62,0
1.0,0.05,0.1,0.0,0.0,-89.10279711394952,89.10279711394952,62,0
1.0,0.05,0.3,0.0,0.0,-89.26700480235166,89.26700480235166,62,0
1.0,0.1,0.3,0.0,0.0,-91.26372717889501,91.26372717889501,62,0
1.0,0.2,0.1,0.0,0.0,-91.49328382796526,91.49328382796526,62,0
1.0,0.1,0.1,0.0,0.0,-95.49867026900752,95.49867026900752,62,0
0.5,0.05,0.0,0.0,0.0,-96.59367601181698,96.59367601181698,62,0
0.0,0.1,0.0,0.0,0.0,-102.31050968404809,102.31050968404809,62,0
0.0,0.2,0.0,0.0,0.0,-159.87513700889923,159.87513700889923,62,0
0.5,0.1,0.0,0.0,0.0,-188.21172782538628,188.21172782538628,62,0
1.0,0.05,0.0,0.0,0.0,-196.48658983138105,196.48658983138105,62,0
0.5,0.2,0.0,0.0,0.0,-203.51889326012827,203.51889326012827,62,0
1.0,0.1,0.0,0.0,0.0,-266.1566122340089,266.1566122340089,62,0
1.0,0.2,0.0,0.0,0.0,-278.13417394027573,278.13417394027573,62,0
0.0,0.05,0.1,0.0,0.0,-36.503937824783314,36.503937824783314,61,1
0.0,0.1,0.3,0.0,0.0,-37.89505601243129,37.89505601243129,61,1
0.0,0.1,0.1,0.0,0.0,-38.54428855710826,38.54428855710826,61,1
0.0,0.05,0.3,0.0,0.0,-38.81088040395242,38.81088040395242,61,1
0.0,0.2,0.3,0.0,0.0,-41.96759771895564,41.96759771895564,61,1
0.0,0.2,0.1,0.0,0.0,-45.98395810315055,45.98395810315055,61,1
0.5,0.05,0.1,0.0,0.0,-51.04503388933238,51.04503388933238,61,1
0.5,0.05,0.3,0.0,0.0,-51.82606984060432,51.82606984060432,61,1
0.0,0.05,0.0,0.0,0.0,-52.313930993867956,52.313930993867956,61,1
