task_id,random_seed,true_region_preserve,true_color_preserve,hat_region_preserve,hat_color_preserve,ll,nll,n_actions,converged
0,1,0.0,0.0,0.0,0.0,-36.556564557176394,36.556564557176394,62,True
1,1,0.0,1.0,0.0,1.0,-36.613722971016344,36.613722971016344,62,True
2,1,1.0,0.0,1.0,0.0,-31.22579344577862,31.22579344577862,62,True
3,1,1.0,1.0,1.0,1.0,-30.656355919544694,30.656355919544694,61,True
