pruning_thresh,gamma,lapse_rate,region_preserve,color_preserve,ll,nll,n_actions,task_id
0.0,0.1,0.0,0.0,0.0,-2258.055974288992,2258.055974288992,1042,0
0.0,0.1,0.1,0.0,0.0,-2266.541542419341,2266.541542419341,1042,0
0.0,0.1,0.1,0.0,0.0,-1408.9690241178919,1408.9690241178919,666,1
0.0,0.1,0.0,0.0,0.0,-1468.4247823659746,1468.4247823659746,666,1
