,hat_pruning_thresh,hat_gamma,hat_lapse_rate
hat_pruning_thresh,1.0,-0.5492450692885522,-0.04536092116265127
hat_gamma,-0.5492450692885522,1.0,0.2605005953829095
hat_lapse_rate,-0.04536092116265127,0.2605005953829095,1.0
