pruning_thresh,gamma,lapse_rate,ll,nll,n_actions,task_id
0.0,0.2,0.1,-45.02718041992609,45.02718041992609,62,0
0.5,0.2,0.1,-45.02718041992609,45.02718041992609,62,0
0.0,0.2,0.3,-46.230170167135974,46.230170167135974,62,0
0.5,0.2,0.3,-46.230170167135974,46.230170167135974,62,0
0.0,0.1,0.1,-48.29604094170993,48.29604094170993,62,0
0.5,0.1,0.1,-48.29604094170993,48.29604094170993,62,0
0.0,0.1,0.3,-49.88320802799527,49.88320802799527,62,0
0.5,0.1,0.3,-49.88320802799527,49.88320802799527,62,0
0.0,0.05,0.0,-50.10197313277384,50.10197313277384,62,0
0.5,0.05,0.0,-50.10197313277384,50.10197313277384,62,0
0.0,0.05,0.1,-51.511590163247966,51.511590163247966,62,0
0.5,0.05,0.1,-51.511590163247966,51.511590163247966,62,0
0.0,0.05,0.3,-54.68654600770075,54.68654600770075,62,0
0.5,0.05,0.3,-54.68654600770075,54.68654600770075,62,0
1.0,0.05,0.1,-63.78647545052451,63.78647545052451,62,0
1.0,0.1,0.1,-67.89688637869517,67.89688637869517,62,0
1.0,0.2,0.1,-68.34814260286173,68.34814260286173,62,0
1.0,0.2,0.3,-69.64637001018544,69.64637001018544,62,0
1.0,0.1,0.3,-71.05116571533749,71.05116571533749,62,0
1.0,0.05,0.3,-71.07084056141977,71.07084056141977,62,0
1.0,0.05,0.0,-76.93003220213524,76.93003220213524,62,0
0.0,0.1,0.0,-78.71518061264892,78.71518061264892,62,0
0.5,0.1,0.0,-78.71518061264892,78.71518061264892,62,0
0.0,0.2,0.0,-92.45373012947707,92.45373012947707,62,0
0.5,0.2,0.0,-92.45373012947707,92.45373012947707,62,0
1.0,0.1,0.0,-143.8274658825233,143.8274658825233,62,0
1.0,0.2,0.0,-176.14530117348045,176.14530117348045,62,0
0.0,0.2,0.1,-45.02718041992609,45.02718041992609,62,1
0.5,0.2,0.1,-45.02718041992609,45.02718041992609,62,1
0.0,0.2,0.3,-46.230170167135974,46.230170167135974,62,1
0.5,0.2,0.3,-46.230170167135974,46.230170167135974,62,1
0.0,0.1,0.1,-48.29604094170993,48.29604094170993,62,1
0.5,0.1,0.1,-48.29604094170993,48.29604094170993,62,1
0.0,0.1,0.3,-49.88320802799527,49.88320802799527,62,1
0.5,0.1,0.3,-49.88320802799527,49.88320802799527,62,1
0.0,0.05,0.0,-50.10197313277384,50.10197313277384,62,1
0.5,0.05,0.0,-50.10197313277384,50.10197313277384,62,1
0.0,0.05,0.1,-51.511590163247966,51.511590163247966,62,1
0.5,0.05,0.1,-51.511590163247966,51.511590163247966,62,1
0.0,0.05,0.3,-54.68654600770075,54.68654600770075,62,1
0.5,0.05,0.3,-54.68654600770075,54.68654600770075,62,1
1.0,0.05,0.1,-63.78647545052451,63.78647545052451,62,1
1.0,0.1,0.1,-67.89688637869517,67.89688637869517,62,1
1.0,0.2,0.1,-68.34814260286173,68.34814260286173,62,1
1.0,0.2,0.3,-69.64637001018544,69.64637001018544,62,1
1.0,0.1,0.3,-71.05116571533749,71.05116571533749,62,1
1.0,0.05,0.3,-71.07084056141977,71.07084056141977,62,1
1.0,0.05,0.0,-76.93003220213524,76.93003220213524,62,1
0.0,0.1,0.0,-78.71518061264892,78.71518061264892,62,1
0.5,0.1,0.0,-78.71518061264892,78.71518061264892,62,1
0.0,0.2,0.0,-92.45373012947707,92.45373012947707,62,1
0.5,0.2,0.0,-92.45373012947707,92.45373012947707,62,1
1.0,0.1,0.0,-143.8274658825233,143.8274658825233,62,1
1.0,0.2,0.0,-176.14530117348045,176.14530117348045,62,1
0.0,0.2,0.1,-45.02718041992609,45.02718041992609,62,2
0.5,0.2,0.1,-45.02718041992609,45.02718041992609,62,2
0.0,0.2,0.3,-46.230170167135974,46.230170167135974,62,2
0.5,0.2,0.3,-46.230170167135974,46.230170167135974,62,2
0.0,0.1,0.1,-48.29604094170993,48.29604094170993,62,2
0.5,0.1,0.1,-48.29604094170993,48.29604094170993,62,2
0.0,0.1,0.3,-49.88320802799527,49.88320802799527,62,2
0.5,0.1,0.3,-49.88320802799527,49.88320802799527,62,2
0.0,0.05,0.0,-50.10197313277384,50.10197313277384,62,2
0.5,0.05,0.0,-50.10197313277384,50.10197313277384,62,2
0.0,0.05,0.1,-51.511590163247966,51.511590163247966,62,2
0.5,0.05,0.1,-51.511590163247966,51.511590163247966,62,2
0.0,0.05,0.3,-54.68654600770075,54.68654600770075,62,2
0.5,0.05,0.3,-54.68654600770075,54.68654600770075,62,2
1.0,0.05,0.1,-63.78647545052451,63.78647545052451,62,2
1.0,0.1,0.1,-67.89688637869517,67.89688637869517,62,2
1.0,0.2,0.1,-68.34814260286173,68.34814260286173,62,2
1.0,0.2,0.3,-69.64637001018544,69.64637001018544,62,2
1.0,0.1,0.3,-71.05116571533749,71.05116571533749,62,2
1.0,0.05,0.3,-71.07084056141977,71.07084056141977,62,2
1.0,0.05,0.0,-76.93003220213524,76.93003220213524,62,2
0.0,0.1,0.0,-78.71518061264892,78.71518061264892,62,2
0.5,0.1,0.0,-78.71518061264892,78.71518061264892,62,2
0.0,0.2,0.0,-92.45373012947707,92.45373012947707,62,2
0.5,0.2,0.0,-92.45373012947707,92.45373012947707,62,2
1.0,0.1,0.0,-143.8274658825233,143.8274658825233,62,2
1.0,0.2,0.0,-176.14530117348045,176.14530117348045,62,2
0.0,0.2,0.1,-47.14052351328161,47.14052351328161,63,3
0.5,0.2,0.1,-47.14052351328161,47.14052351328161,63,3
0.0,0.2,0.3,-48.41497222447364,48.41497222447364,63,3
0.5,0.2,0.3,-48.41497222447364,48.41497222447364,63,3
0.0,0.1,0.1,-50.78094759149793,50.78094759149793,63,3
0.5,0.1,0.1,-50.78094759149793,50.78094759149793,63,3
0.0,0.1,0.3,-52.36811467778327,52.36811467778327,63,3
0.5,0.1,0.3,-52.36811467778327,52.36811467778327,63,3
0.0,0.05,0.0,-52.586879782561844,52.586879782561844,63,3
0.5,0.05,0.0,-52.586879782561844,52.586879782561844,63,3
0.0,0.05,0.1,-53.996496813035975,53.996496813035975,63,3
0.5,0.05,0.1,-53.996496813035975,53.996496813035975,63,3
0.0,0.05,0.3,-57.17145265748874,57.17145265748874,63,3
0.5,0.05,0.3,-57.17145265748874,57.17145265748874,63,3
1.0,0.05,0.1,-66.27910414640643,66.27910414640643,63,3
1.0,0.1,0.1,-70.38951507457708,70.38951507457708,63,3
1.0,0.2,0.1,-70.46680485769484,70.46680485769484,63,3
1.0,0.2,0.3,-71.8484138739576,71.8484138739576,63,3
1.0,0.1,0.3,-73.55941972912248,73.55941972912248,63,3
1.0,0.05,0.3,-73.57909457520475,73.57909457520475,63,3
1.0,0.05,0.0,-79.41493885192324,79.41493885192324,63,3
0.0,0.1,0.0,-81.20008726243692,81.20008726243692,63,3
0.5,0.1,0.0,-81.20008726243692,81.20008726243692,63,3
0.0,0.2,0.0,-94.53317167115691,94.53317167115691,63,3
0.5,0.2,0.0,-94.53317167115691,94.53317167115691,63,3
1.0,0.1,0.0,-146.31237253231131,146.31237253231131,63,3
1.0,0.2,0.0,-178.2247427151603,178.2247427151603,63,3
0.0,0.2,0.1,-44.89364902730158,44.89364902730158,62,4
0.5,0.2,0.1,-44.89364902730158,44.89364902730158,62,4
0.0,0.2,0.3,-46.096638774511455,46.096638774511455,62,4
0.5,0.2,0.3,-46.096638774511455,46.096638774511455,62,4
0.0,0.1,0.1,-48.162509549085414,48.162509549085414,62,4
0.5,0.1,0.1,-48.162509549085414,48.162509549085414,62,4
0.0,0.1,0.3,-49.74967663537075,49.74967663537075,62,4
0.5,0.1,0.3,-49.74967663537075,49.74967663537075,62,4
0.0,0.05,0.0,-49.968441740149316,49.968441740149316,62,4
0.5,0.05,0.0,-49.968441740149316,49.968441740149316,62,4
0.0,0.05,0.1,-51.37805877062344,51.37805877062344,62,4
0.5,0.05,0.1,-51.37805877062344,51.37805877062344,62,4
0.0,0.05,0.3,-54.55301461507623,54.55301461507623,62,4
0.5,0.05,0.3,-54.55301461507623,54.55301461507623,62,4
1.0,0.05,0.1,-63.64532013278933,63.64532013278933,62,4
1.0,0.1,0.1,-67.75573106095999,67.75573106095999,62,4
1.0,0.2,0.1,-68.20698728512654,68.20698728512654,62,4
1.0,0.2,0.3,-69.48918442666302,69.48918442666302,62,4
1.0,0.1,0.3,-70.89398013181508,70.89398013181508,62,4
1.0,0.05,0.3,-70.91365497789735,70.91365497789735,62,4
1.0,0.05,0.0,-76.7965008095107,76.7965008095107,62,4
0.0,0.1,0.0,-78.5816492200244,78.5816492200244,62,4
0.5,0.1,0.0,-78.5816492200244,78.5816492200244,62,4
0.0,0.2,0.0,-92.32019873685253,92.32019873685253,62,4
0.5,0.2,0.0,-92.32019873685253,92.32019873685253,62,4
1.0,0.1,0.0,-143.6939344898988,143.6939344898988,62,4
1.0,0.2,0.0,-176.01176978085596,176.01176978085596,62,4
0.0,0.2,0.1,-45.02718041992609,45.02718041992609,62,5
0.5,0.2,0.1,-45.02718041992609,45.02718041992609,62,5
0.0,0.2,0.3,-46.230170167135974,46.230170167135974,62,5
0.5,0.2,0.3,-46.230170167135974,46.230170167135974,62,5
0.0,0.1,0.1,-48.29604094170993,48.29604094170993,62,5
0.5,0.1,0.1,-48.29604094170993,48.29604094170993,62,5
0.0,0.1,0.3,-49.88320802799527,49.88320802799527,62,5
0.5,0.1,0.3,-49.88320802799527,49.88320802799527,62,5
0.0,0.05,0.0,-50.10197313277384,50.10197313277384,62,5
0.5,0.05,0.0,-50.10197313277384,50.10197313277384,62,5
0.0,0.05,0.1,-51.511590163247966,51.511590163247966,62,5
0.5,0.05,0.1,-51.511590163247966,51.511590163247966,62,5
0.0,0.05,0.3,-54.68654600770075,54.68654600770075,62,5
0.5,0.05,0.3,-54.68654600770075,54.68654600770075,62,5
1.0,0.05,0.1,-63.78647545052451,63.78647545052451,62,5
1.0,0.1,0.1,-67.89688637869517,67.89688637869517,62,5
1.0,0.2,0.1,-68.34814260286173,68.34814260286173,62,5
1.0,0.2,0.3,-69.64637001018544,69.64637001018544,62,5
1.0,0.1,0.3,-71.05116571533749,71.05116571533749,62,5
1.0,0.05,0.3,-71.07084056141977,71.07084056141977,62,5
1.0,0.05,0.0,-76.93003220213524,76.93003220213524,62,5
0.0,0.1,0.0,-78.71518061264892,78.71518061264892,62,5
0.5,0.1,0.0,-78.71518061264892,78.71518061264892,62,5
0.0,0.2,0.0,-92.45373012947707,92.45373012947707,62,5
0.5,0.2,0.0,-92.45373012947707,92.45373012947707,62,5
1.0,0.1,0.0,-143.8274658825233,143.8274658825233,62,5
1.0,0.2,0.0,-176.14530117348045,176.14530117348045,62,5
0.0,0.2,0.3,-63.388798707436415,63.388798707436415,67,6
0.5,0.2,0.3,-63.388798707436415,63.388798707436415,67,6
0.0,0.1,0.3,-66.36070391466298,66.36070391466298,67,6
0.5,0.1,0.3,-66.36070391466298,66.36070391466298,67,6
0.0,0.05,0.1,-66.6578120094595,66.6578120094595,67,6
0.5,0.05,0.1,-66.6578120094595,66.6578120094595,67,6
