parameter,correlation,mae
pruning_thresh,0.9597921828679613,0.13869234806409594
gamma,0.11370162711193804,0.13194560472887973
lapse_rate,0.893482499584826,0.0403692222993683
region_preserve,,0.0
color_preserve,,0.0
