pruning_thresh,gamma,lapse_rate,region_preserve,color_preserve,nll,ll,n_actions,eval_index,task_id
0.11214895248413093,0.07448817253112792,0.05057437896728516,0.0,0.0,30.061453323377123,-30.061453323377123,62,60,0
0.0949614524841309,0.07448817253112792,0.05057437896728516,0.0,0.0,30.061453323377123,-30.061453323377123,62,61,0
0.12933645248413095,0.07448817253112792,0.05057437896728516,0.0,0.0,30.061453323377123,-30.061453323377123,62,62,0
0.11519140303134923,0.07415711730718612,0.05050771802663803,0.0,0.0,30.061500403866482,-30.061500403866482,62,67,0
0.04734649658203138,0.07399330139160155,0.05041397094726563,0.0,0.0,30.061569671867407,-30.061569671867407,62,53,0
0.11609649658203136,0.07399330139160155,0.05041397094726563,0.0,0.0,30.061569671867407,-30.061569671867407,62,47,0
0.13544921875000004,0.0737353515625,0.0543212890625,0.0,0.0,30.061575657677146,-30.061575657677146,62,20,0
0.11467399597167982,0.07444311141967773,0.054960985183715824,0.0,0.0,30.06211161155798,-30.06211161155798,62,59,0
0.11214895248413093,0.07448817253112792,0.05510562896728516,0.0,0.0,30.062252518302774,-30.062252518302774,62,64,0
0.1056879043579102,0.07442238330841064,0.055257463455200204,0.0,0.0,30.062408170144955,-30.062408170144955,62,57,0
0.121033811569214,0.07441747665405272,0.055533337593078616,0.0,0.0,30.06271113504855,-30.06271113504855,62,58,0
0.07323684692382826,0.07276283264160155,0.05727943420410157,0.0,0.0,30.065217059460338,-30.065217059460338,62,50,0
0.12161865234375013,0.07514526367187499,0.046781005859375,0.0,0.0,30.06714725639482,-30.06714725639482,62,33,0
0.11214895248413093,0.07448817253112792,0.04604312896728516,0.0,0.0,30.069011573410936,-30.069011573410936,62,63,0
0.1270233154296876,0.07495941162109375,0.05964019775390625,0.0,0.0,30.070144146315794,-30.070144146315794,62,39,0
0.18484649658203134,0.07399330139160155,0.05041397094726563,0.0,0.0,30.07720657837982,-30.07720657837982,62,54,0
0.13085021972656263,0.07501708984375,0.0629058837890625,0.0,0.0,30.079654855444918,-30.079654855444918,62,38,0
0.11609649658203136,0.07399330139160155,0.06853897094726563,0.0,0.0,30.10262450654949,-30.10262450654949,62,51,0
0.27294921875000006,0.0737353515625,0.0543212890625,0.0,0.0,30.12006304612766,-30.12006304612766,62,44,0
0.052625274658203214,0.07283012390136719,0.07460792541503906,0.0,0.0,30.1354562020741,-30.1354562020741,62,49,0
0.11060791015625004,0.075196533203125,0.07757934570312501,0.0,0.0,30.154219170802886,-30.154219170802886,62,32,0
0.11609649658203136,0.07399330139160155,0.03228897094726563,0.0,0.0,30.163684981172594,-30.163684981172594,62,52,0
0.09593811035156263,0.07433776855468749,0.030487976074218756,0.0,0.0,30.18720840592993,-30.18720840592993,62,40,0
0.13544921875000004,0.0737353515625,0.0905712890625,0.0,0.0,30.253758267963285,-30.253758267963285,62,42,0
0.1523681640625001,0.07473510742187499,0.104766845703125,0.0,0.0,30.389089076725064,-30.389089076725064,62,31,0
0.06147079467773442,0.07504272460937499,0.10520050048828125,0.0,0.0,30.39359034542803,-30.39359034542803,62,48,0
0.13544921875000004,0.0737353515625,0.018071289062499996,0.0,0.0,30.477937612067183,-30.477937612067183,62,43,0
0.13544921875000004,0.0737353515625,0.1268212890625,0.0,0.0,30.640873652219415,-30.640873652219415,62,34,0
0.13853759765625007,0.07430572509765625,0.013407287597656248,0.0,0.0,30.68976483917758,-30.68976483917758,62,41,0
0.13544921875000004,0.0737353515625,0.1993212890625,0.0,0.0,31.702629150420012,-31.702629150420012,62,27,0
0.12027587890625013,0.069505615234375,0.05743652343750001,0.0,0.0,31.706746729404777,-31.706746729404777,62,30,0
0.11214895248413093,0.07120692253112793,0.05057437896728516,0.0,0.0,31.708235563496785,-31.708235563496785,62,66,0
0.1999023437500001,0.0690185546875,0.0925537109375,0.0,0.0,31.913072701707637,-31.913072701707637,62,26,0
0.06723632812500013,0.0667626953125,0.130927734375,0.0,0.0,32.271964093422504,-32.271964093422504,62,23,0
0.11609649658203136,0.060868301391601556,0.05041397094726563,0.0,0.0,34.10085480688841,-34.10085480688841,62,55,0
0.10590820312500004,0.08265624999999999,0.05191406250000001,0.0,0.0,34.185340355853654,-34.185340355853654,62,24,0
0.11214895248413093,0.07776942253112792,0.05057437896728516,0.0,0.0,34.21304544127846,-34.21304544127846,62,65,0
0.19560546875000007,0.08060546874999999,0.1817626953125,0.0,0.0,34.251955681966734,-34.251955681966734,62,17,0
9.765625000013323e-05,0.07404296875,8.789062500000333e-05,0.0,0.0,35.47126145451984,-35.47126145451984,62,21,0
0.2127929687500001,0.0751708984375,8.789062500000333e-05,0.0,0.0,35.47128782321376,-35.47128782321376,62,22,0
0.20849609375000006,0.06173828125,0.2007373046875,0.0,0.0,35.49491076178723,-35.49491076178723,62,14,0
0.09355468750000007,0.05609863281249999,0.019628906249999994,0.0,0.0,36.079911397104794,-36.079911397104794,62,25,0
0.13544921875000004,0.0474853515625,0.0543212890625,0.0,0.0,36.692783505143545,-36.692783505143545,62,45,0
0.11609649658203136,0.08711830139160155,0.05041397094726563,0.0,0.0,37.76395323737849,-37.76395323737849,62,56,0
0.09785156250000004,0.09813964843749999,0.41512207031250004,0.0,0.0,40.50595116760197,-40.50595116760197,62,18,0
9.765625000013323e-05,0.11311035156249999,0.234013671875,0.0,0.0,41.13015111210339,-41.13015111210339,62,16,0
0.13544921875000004,0.09998535156249999,0.0543212890625,0.0,0.0,41.34991543454837,-41.34991543454837,62,46,0
0.30732421875000004,0.03692382812499999,0.075986328125,0.0,0.0,42.20734814919241,-42.20734814919241,62,8,0
0.30732421875000004,0.14192382812499998,0.220986328125,0.0,0.0,43.19117193197637,-43.19117193197637,62,9,0
9.765625000013323e-05,0.22826171874999998,0.3363916015625,0.0,0.0,43.40059168514674,-43.40059168514674,62,19,0
0.1805664062500001,0.027182617187499994,0.0010791015625000178,0.0,0.0,43.4647761527372,-43.4647761527372,62,13,0
0.41044921875000007,0.0737353515625,0.0543212890625,0.0,0.0,43.46870076602184,-43.46870076602184,62,36,0
0.13544921875000004,0.02123535156249999,0.0543212890625,0.0,0.0,44.774068762544786,-44.774068762544786,62,37,0
0.013525390625000133,0.0200048828125,0.1455126953125,0.0,0.0,45.68102915921428,-45.68102915921428,62,12,0
0.30732421875000004,0.14192382812499998,0.075986328125,0.0,0.0,46.77382396065078,-46.77382396065078,62,3,0
