pruning_thresh,gamma,lapse_rate,region_preserve,color_preserve,nll,ll,n_actions,eval_index,task_id
0.5,0.1,0.0,0.75,0.75,2281.564251368177,-2281.564251368177,1043,1,0
0.5,0.1,0.0,0.75,0.75,2281.564251368177,-2281.564251368177,1043,2,0
0.5,0.1,0.0,0.55926513671875,0.14483642578125,2281.564251368177,-2281.564251368177,1043,14,0
0.5,0.1,0.0,0.75,0.125,2281.564251368177,-2281.564251368177,1043,16,0
0.5,0.1,0.0,0.75,0.90625,2281.564251368177,-2281.564251368177,1043,32,0
0.5,0.1,0.0,0.75,0.4375,2281.564251368177,-2281.564251368177,1043,23,0
0.5,0.1,0.0,0.7769317626953125,1.2263031005859375,2281.564251368177,-2281.564251368177,1043,20,0
0.5,0.1,0.0,0.75,1.375,2281.564251368177,-2281.564251368177,1043,18,0
0.5,0.1,0.0,0.75,1.0625,2281.564251368177,-2281.564251368177,1043,26,0
0.5,0.1,0.0,0.75,0.59375,2281.564251368177,-2281.564251368177,1043,31,0
0.5,0.1,0.0,0.7618446350097656,0.6204338073730469,2281.564251368177,-2281.564251368177,1043,30,0
0.5,0.1,0.0,0.7603378295898438,0.9594459533691406,2281.564251368177,-2281.564251368177,1043,29,0
0.5,0.1,0.0,0.8147544860839844,0.7014389038085938,2281.564251368177,-2281.564251368177,1043,37,0
0.5,0.1,0.0,0.8386106491088867,0.8311290740966797,2281.564251368177,-2281.564251368177,1043,36,0
0.5,0.1,0.0,0.6180305480957031,0.5954427719116211,2281.564251368177,-2281.564251368177,1043,35,0
0.5,0.1,0.0,0.90625,0.75,2281.564251368177,-2281.564251368177,1043,34,0
0.5,0.1,0.0,0.671875,0.75,2281.564251368177,-2281.564251368177,1043,41,0
0.5,0.1,0.0,0.828125,0.75,2281.564251368177,-2281.564251368177,1043,40,0
0.5,0.1,0.0,0.7724447250366211,0.7684822082519531,2281.564251368177,-2281.564251368177,1043,38,0
0.5,0.1,0.0,0.75,0.671875,2281.564251368177,-2281.564251368177,1043,39,0
0.5,0.1,0.0,0.75,0.828125,2281.564251368177,-2281.564251368177,1043,42,0
0.5,0.1,0.0,0.6929613351821899,0.7341538071632385,2281.564251368177,-2281.564251368177,1043,43,0
0.5,0.1,0.0,0.14605712890625,0.63861083984375,2283.3968328319247,-2283.3968328319247,1043,11,0
0.5,0.1,0.0,0.125,0.75,2283.3968328319247,-2283.3968328319247,1043,17,0
0.5,0.1,0.0,0.59375,0.75,2284.495445120593,-2284.495445120593,1043,33,0
0.5,0.1,0.0,0.52813720703125,0.71917724609375,2284.783127193045,-2284.783127193045,1043,22,0
0.5,0.1,0.0,0.516998291015625,0.7866592407226562,2284.783127193045,-2284.783127193045,1043,28,0
0.5,0.1,0.0,0.45703125,1.37255859375,2284.783127193045,-2284.783127193045,1043,4,0
0.5,0.1,0.0,0.4375,0.75,2284.783127193045,-2284.783127193045,1043,24,0
0.5,0.1,0.0,1.375,0.75,2299.1740018959126,-2299.1740018959126,1043,15,0
0.5,0.1,0.0,1.7119140625,0.560791015625,2299.1740018959126,-2299.1740018959126,1043,6,0
0.5,0.1,0.0,2.0,0.75,2299.1740018959126,-2299.1740018959126,1043,9,0
0.5,0.1,0.0,1.1998291015625,0.10211181640625,2299.1740018959126,-2299.1740018959126,1043,13,0
0.5,0.1,0.0,0.945465087890625,0.4136962890625,2300.2726141845806,-2300.2726141845806,1043,21,0
0.5,0.1,0.0,1.1121673583984375,0.895416259765625,2300.2726141845806,-2300.2726141845806,1043,19,0
0.5,0.1,0.0,0.9128875732421875,0.2510948181152344,2300.2726141845806,-2300.2726141845806,1043,27,0
0.5,0.1,0.0,1.0625,0.75,2300.2726141845806,-2300.2726141845806,1043,25,0
0.5,0.1,0.0,0.75,-0.5,2301.3712264732485,-2301.3712264732485,1043,7,0
0.5,0.1,0.0,-0.23419189453125,1.4342041015625,2342.165432961102,-2342.165432961102,1043,12,0
0.5,0.1,0.0,-0.5,0.75,2424.665453720778,-2424.665453720778,1043,8,0
0.5,0.1,0.0,-0.457275390625,-0.37548828125,2473.6258764772233,-2473.6258764772233,1043,3,0
0.5,0.1,0.0,0.826904296875,1.686279296875,11142.55478162496,-11142.55478162496,1043,5,0
0.5,0.1,0.0,0.75,2.0,15765.185478227837,-15765.185478227837,1043,10,0
0.5,0.1,0.0,0.24926376342773438,1.6548843383789062,2184.0298294255927,-2184.0298294255927,1043,57,1
0.5,0.1,0.0,0.22751998901367188,1.6615791320800781,2184.0298294255927,-2184.0298294255927,1043,58,1
0.5,0.1,0.0,0.2858467102050781,1.6578216552734375,2184.0298294255927,-2184.0298294255927,1043,60,1
0.5,0.1,0.0,0.21020126342773438,1.6548843383789062,2184.0298294255927,-2184.0298294255927,1043,80,1
0.5,0.1,0.0,0.23488235473632812,1.580998420715332,2184.2586709980214,-2184.2586709980214,1043,69,1
0.5,0.1,0.0,0.21133732795715332,1.6316659450531006,2184.5688259263256,-2184.5688259263256,1043,76,1
0.5,0.1,0.0,0.2883799076080322,1.6453273296356201,2184.5688259263256,-2184.5688259263256,1043,78,1
0.5,0.1,0.0,0.24926376342773438,1.6158218383789062,2184.6641361061297,-2184.6641361061297,1043,79,1
0.5,0.1,0.0,0.3273887634277344,1.6548843383789062,2184.7229766061523,-2184.7229766061523,1043,73,1
0.5,0.1,0.0,0.30742359161376953,1.6727275848388672,2184.7229766061523,-2184.7229766061523,1043,70,1
0.5,0.1,0.0,0.3544015884399414,1.6814537048339844,2184.7229766061523,-2184.7229766061523,1043,68,1
0.5,0.1,0.0,0.44451904296875,1.65728759765625,2184.7229766061523,-2184.7229766061523,1043,54,1
0.5,0.1,0.0,0.3154177665710449,1.664236307144165,2184.7229766061523,-2184.7229766061523,1043,77,1
0.5,0.1,0.0,0.44451904296875,1.57916259765625,2184.9518181785816,-2184.9518181785816,1043,21,1
0.5,0.1,0.0,0.31027865409851074,1.6151483058929443,2184.9518181785816,-2184.9518181785816,1043,75,1
0.5,0.1,0.0,0.4055137634277344,1.6548843383789062,2185.1284417142606,-2185.1284417142606,1043,65,1
0.5,0.1,0.0,0.4326171875,1.6452713012695312,2185.2619731068853,-2185.2619731068853,1043,61,1
0.5,0.1,0.0,0.3780956268310547,1.5843076705932617,2185.3572832866894,-2185.3572832866894,1043,48,1
0.5,0.1,0.0,0.36639404296875,1.57916259765625,2186.0504304672495,-2186.0504304672495,1043,53,1
0.5,0.1,0.0,0.36908817291259766,1.5812606811523438,2186.0504304672495,-2186.0504304672495,1043,49,1
